Year,Predator,Farm_ID,Stage,Source,Mean,SD,Median,Lower,Upper
2018,Spider,MO1,Ripening,Rice herbivore,0.746,0.2,0.787,0.272,0.985
2018,Spider,MO1,Ripening,Tourist herbivore,0.129,0.106,0.103,0.009,0.388
2018,Spider,MO1,Ripening,Detritivore,0.125,0.175,0.033,0,0.612
2018,Spider,MO2,Tillering,Rice herbivore,0.147,0.078,0.135,0.03,0.33
2018,Spider,MO2,Tillering,Tourist herbivore,0.649,0.119,0.649,0.424,0.877
2018,Spider,MO2,Tillering,Detritivore,0.204,0.115,0.19,0.032,0.455
2018,Spider,MO2,Flowering,Rice herbivore,0.558,0.156,0.576,0.203,0.81
2018,Spider,MO2,Flowering,Tourist herbivore,0.427,0.153,0.409,0.182,0.767
2018,Spider,MO2,Flowering,Detritivore,0.016,0.018,0.01,0.001,0.06
2018,Spider,MO3,Tillering,Rice herbivore,0.165,0.107,0.147,0.019,0.419
2018,Spider,MO3,Tillering,Tourist herbivore,0.327,0.153,0.316,0.052,0.663
2018,Spider,MO3,Tillering,Detritivore,0.509,0.189,0.506,0.152,0.877
2018,Spider,SC1,Tillering,Rice herbivore,0.439,0.155,0.453,0.102,0.715
2018,Spider,SC1,Tillering,Tourist herbivore,0.287,0.125,0.281,0.066,0.554
2018,Spider,SC1,Tillering,Detritivore,0.274,0.19,0.222,0.041,0.773
2018,Spider,SC1,Flowering,Rice herbivore,0.883,0.08,0.905,0.67,0.973
2018,Spider,SC1,Flowering,Tourist herbivore,0.103,0.071,0.085,0.02,0.281
2018,Spider,SC1,Flowering,Detritivore,0.014,0.03,0.006,0.001,0.089
2018,Spider,SO1,Tillering,Rice herbivore,0.162,0.077,0.15,0.046,0.337
2018,Spider,SO1,Tillering,Tourist herbivore,0.056,0.039,0.047,0.007,0.152
2018,Spider,SO1,Tillering,Detritivore,0.782,0.091,0.793,0.581,0.931
2018,Spider,SO1,Flowering,Rice herbivore,0.869,0.069,0.882,0.707,0.966
2018,Spider,SO1,Flowering,Tourist herbivore,0.051,0.037,0.042,0.007,0.144
2018,Spider,SO1,Flowering,Detritivore,0.079,0.055,0.065,0.013,0.215
2018,Ladybeetle,LC1,Tillering,Rice herbivore,0.859,0.191,0.931,0.189,0.998
2018,Ladybeetle,LC1,Tillering,Tourist herbivore,0.067,0.159,0.012,0,0.671
2018,Ladybeetle,LC1,Tillering,Detritivore,0.074,0.109,0.03,0,0.389
2018,Ladybeetle,LC1,Ripening,Rice herbivore,0.95,0.138,0.986,0.51,0.999
2018,Ladybeetle,LC1,Ripening,Tourist herbivore,0.036,0.135,0.004,0,0.476
2018,Ladybeetle,LC1,Ripening,Detritivore,0.014,0.024,0.005,0,0.083
2018,Ladybeetle,LC2,Ripening,Rice herbivore,0.936,0.147,0.982,0.457,0.999
2018,Ladybeetle,LC2,Ripening,Tourist herbivore,0.042,0.139,0.005,0,0.501
2018,Ladybeetle,LC2,Ripening,Detritivore,0.023,0.045,0.006,0,0.152
2018,Ladybeetle,LC3,Tillering,Rice herbivore,0.854,0.187,0.924,0.197,0.998
2018,Ladybeetle,LC3,Tillering,Tourist herbivore,0.066,0.152,0.013,0,0.604
2018,Ladybeetle,LC3,Tillering,Detritivore,0.081,0.112,0.032,0,0.405
2018,Ladybeetle,LC3,Flowering,Rice herbivore,0.888,0.148,0.935,0.421,0.997
2018,Ladybeetle,LC3,Flowering,Tourist herbivore,0.06,0.129,0.016,0,0.51
2018,Ladybeetle,LC3,Flowering,Detritivore,0.052,0.069,0.026,0.001,0.253
2018,Ladybeetle,LC3,Ripening,Rice herbivore,0.948,0.14,0.985,0.388,0.999
2018,Ladybeetle,LC3,Ripening,Tourist herbivore,0.037,0.136,0.004,0,0.588
2018,Ladybeetle,LC3,Ripening,Detritivore,0.015,0.026,0.006,0,0.087
2018,Ladybeetle,LO1,Tillering,Rice herbivore,0.77,0.216,0.825,0.21,0.998
2018,Ladybeetle,LO1,Tillering,Tourist herbivore,0.094,0.162,0.021,0,0.589
2018,Ladybeetle,LO1,Tillering,Detritivore,0.135,0.159,0.07,0,0.543
2018,Ladybeetle,LO1,Flowering,Rice herbivore,0.816,0.18,0.869,0.322,0.995
2018,Ladybeetle,LO1,Flowering,Tourist herbivore,0.091,0.149,0.029,0,0.578
2018,Ladybeetle,LO1,Flowering,Detritivore,0.093,0.111,0.053,0.001,0.411
2018,Ladybeetle,LO1,Ripening,Rice herbivore,0.92,0.153,0.968,0.347,0.999
2018,Ladybeetle,LO1,Ripening,Tourist herbivore,0.052,0.145,0.008,0,0.611
2018,Ladybeetle,LO1,Ripening,Detritivore,0.028,0.046,0.012,0,0.154
2018,Ladybeetle,LO2,Tillering,Rice herbivore,0.827,0.228,0.925,0.11,0.998
2018,Ladybeetle,LO2,Tillering,Tourist herbivore,0.07,0.17,0.013,0,0.782
2018,Ladybeetle,LO2,Tillering,Detritivore,0.103,0.163,0.031,0,0.591
2018,Ladybeetle,LO2,Ripening,Rice herbivore,0.94,0.144,0.983,0.497,0.999
2018,Ladybeetle,LO2,Ripening,Tourist herbivore,0.039,0.137,0.004,0,0.461
2018,Ladybeetle,LO2,Ripening,Detritivore,0.021,0.041,0.006,0,0.136
2018,Ladybeetle,LO3,Tillering,Rice herbivore,0.831,0.212,0.915,0.115,0.998
2018,Ladybeetle,LO3,Tillering,Tourist herbivore,0.063,0.159,0.012,0,0.681
2018,Ladybeetle,LO3,Tillering,Detritivore,0.106,0.148,0.038,0,0.524
2018,Ladybeetle,LO3,Ripening,Rice herbivore,0.944,0.144,0.983,0.437,0.999
2018,Ladybeetle,LO3,Ripening,Tourist herbivore,0.036,0.138,0.004,0,0.533
2018,Ladybeetle,LO3,Ripening,Detritivore,0.02,0.034,0.007,0,0.116
2018,Ladybeetle,MC1,Tillering,Rice herbivore,0.829,0.223,0.921,0.127,0.998
2018,Ladybeetle,MC1,Tillering,Tourist herbivore,0.068,0.166,0.012,0,0.767
2018,Ladybeetle,MC1,Tillering,Detritivore,0.102,0.157,0.034,0,0.596
2018,Ladybeetle,MC2,Ripening,Rice herbivore,0.932,0.147,0.981,0.474,0.999
2018,Ladybeetle,MC2,Ripening,Tourist herbivore,0.043,0.134,0.005,0,0.465
2018,Ladybeetle,MC2,Ripening,Detritivore,0.025,0.054,0.007,0,0.169
2018,Ladybeetle,MO1,Ripening,Rice herbivore,0.935,0.145,0.981,0.465,0.999
2018,Ladybeetle,MO1,Ripening,Tourist herbivore,0.042,0.136,0.005,0,0.486
2018,Ladybeetle,MO1,Ripening,Detritivore,0.023,0.046,0.007,0,0.163
2018,Ladybeetle,MO2,Tillering,Rice herbivore,0.806,0.231,0.903,0.1,0.998
2018,Ladybeetle,MO2,Tillering,Tourist herbivore,0.084,0.176,0.015,0,0.719
2018,Ladybeetle,MO2,Tillering,Detritivore,0.11,0.161,0.041,0,0.609
2018,Ladybeetle,MO2,Flowering,Rice herbivore,0.847,0.185,0.914,0.262,0.997
2018,Ladybeetle,MO2,Flowering,Tourist herbivore,0.077,0.155,0.02,0,0.598
2018,Ladybeetle,MO2,Flowering,Detritivore,0.076,0.105,0.033,0.001,0.389
2018,Ladybeetle,MO3,Tillering,Rice herbivore,0.767,0.255,0.871,0.083,0.998
2018,Ladybeetle,MO3,Tillering,Tourist herbivore,0.1,0.188,0.017,0,0.75
2018,Ladybeetle,MO3,Tillering,Detritivore,0.133,0.188,0.051,0,0.697
2018,Ladybeetle,MO3,Flowering,Rice herbivore,0.806,0.209,0.885,0.209,0.996
2018,Ladybeetle,MO3,Flowering,Tourist herbivore,0.096,0.164,0.025,0,0.617
2018,Ladybeetle,MO3,Flowering,Detritivore,0.098,0.135,0.042,0.001,0.506
2018,Ladybeetle,SC1,Tillering,Rice herbivore,0.788,0.222,0.869,0.191,0.998
2018,Ladybeetle,SC1,Tillering,Tourist herbivore,0.08,0.156,0.017,0,0.614
2018,Ladybeetle,SC1,Tillering,Detritivore,0.131,0.17,0.052,0,0.613
2018,Ladybeetle,SC1,Flowering,Rice herbivore,0.834,0.168,0.885,0.384,0.996
2018,Ladybeetle,SC1,Flowering,Tourist herbivore,0.075,0.127,0.024,0,0.473
2018,Ladybeetle,SC1,Flowering,Detritivore,0.091,0.112,0.045,0.001,0.396
2018,Ladybeetle,SC1,Ripening,Rice herbivore,0.93,0.136,0.974,0.523,0.999
2018,Ladybeetle,SC1,Ripening,Tourist herbivore,0.042,0.126,0.006,0,0.413
2018,Ladybeetle,SC1,Ripening,Detritivore,0.028,0.043,0.01,0,0.16
2018,Ladybeetle,SO1,Tillering,Rice herbivore,0.865,0.235,0.955,0.064,0.998
2018,Ladybeetle,SO1,Tillering,Tourist herbivore,0.056,0.167,0.009,0,0.836
2018,Ladybeetle,SO1,Tillering,Detritivore,0.079,0.172,0.02,0,0.724
2018,Ladybeetle,SO1,Ripening,Rice herbivore,0.948,0.148,0.989,0.395,1
2018,Ladybeetle,SO1,Ripening,Tourist herbivore,0.035,0.14,0.003,0,0.483
2018,Ladybeetle,SO1,Ripening,Detritivore,0.017,0.044,0.004,0,0.148
2019,Both,LC1,Tillering,Rice herbivore,0.443,0.108,0.447,0.225,0.654
2019,Both,LC1,Tillering,Tourist herbivore,0.273,0.105,0.274,0.061,0.475
2019,Both,LC1,Tillering,Detritivore,0.284,0.136,0.267,0.076,0.61
2019,Both,LC1,Flowering,Rice herbivore,0.882,0.068,0.894,0.724,0.975
2019,Both,LC1,Flowering,Tourist herbivore,0.107,0.067,0.094,0.017,0.26
2019,Both,LC1,Flowering,Detritivore,0.011,0.013,0.008,0.001,0.045
2019,Both,LC1,Ripening,Rice herbivore,0.946,0.037,0.955,0.852,0.99
2019,Both,LC1,Ripening,Tourist herbivore,0.051,0.036,0.043,0.008,0.143
2019,Both,LC1,Ripening,Detritivore,0.003,0.004,0.002,0,0.014
2019,Both,LC2,Tillering,Rice herbivore,0.384,0.124,0.386,0.132,0.62
2019,Both,LC2,Tillering,Tourist herbivore,0.104,0.09,0.082,0.008,0.349
2019,Both,LC2,Tillering,Detritivore,0.511,0.142,0.511,0.226,0.801
2019,Both,LC2,Flowering,Rice herbivore,0.925,0.061,0.943,0.765,0.987
2019,Both,LC2,Flowering,Tourist herbivore,0.05,0.054,0.033,0.003,0.194
2019,Both,LC2,Flowering,Detritivore,0.025,0.023,0.019,0.004,0.089
2019,Both,LC3,Tillering,Rice herbivore,0.281,0.102,0.28,0.087,0.483
2019,Both,LC3,Tillering,Tourist herbivore,0.074,0.058,0.059,0.007,0.219
2019,Both,LC3,Tillering,Detritivore,0.645,0.116,0.645,0.42,0.878
2019,Both,LC3,Flowering,Rice herbivore,0.91,0.06,0.925,0.757,0.98
2019,Both,LC3,Flowering,Tourist herbivore,0.047,0.044,0.034,0.004,0.166
2019,Both,LC3,Flowering,Detritivore,0.042,0.036,0.032,0.007,0.139
2019,Both,LC3,Ripening,Rice herbivore,0.966,0.028,0.974,0.885,0.995
2019,Both,LC3,Ripening,Tourist herbivore,0.022,0.022,0.015,0.002,0.083
2019,Both,LC3,Ripening,Detritivore,0.012,0.015,0.007,0.001,0.051
2019,Both,LO1,Tillering,Rice herbivore,0.629,0.135,0.64,0.33,0.867
2019,Both,LO1,Tillering,Tourist herbivore,0.134,0.102,0.113,0.01,0.382
2019,Both,LO1,Tillering,Detritivore,0.237,0.133,0.216,0.042,0.545
2019,Both,LO1,Flowering,Rice herbivore,0.951,0.045,0.964,0.83,0.995
2019,Both,LO1,Flowering,Tourist herbivore,0.041,0.043,0.029,0.002,0.159
2019,Both,LO1,Flowering,Detritivore,0.007,0.01,0.004,0.001,0.03
2019,Both,LO1,Ripening,Rice herbivore,0.98,0.02,0.986,0.925,0.998
2019,Both,LO1,Ripening,Tourist herbivore,0.018,0.019,0.013,0.001,0.072
2019,Both,LO1,Ripening,Detritivore,0.002,0.003,0.001,0,0.009
2019,Both,LO2,Tillering,Rice herbivore,0.28,0.114,0.278,0.073,0.507
2019,Both,LO2,Tillering,Tourist herbivore,0.096,0.077,0.078,0.007,0.287
2019,Both,LO2,Tillering,Detritivore,0.623,0.131,0.621,0.37,0.875
2019,Both,LO2,Flowering,Rice herbivore,0.894,0.082,0.915,0.679,0.98
2019,Both,LO2,Flowering,Tourist herbivore,0.064,0.068,0.044,0.005,0.238
2019,Both,LO2,Flowering,Detritivore,0.042,0.038,0.031,0.007,0.147
2019,Both,LO3,Tillering,Rice herbivore,0.368,0.272,0.268,0.067,0.944
2019,Both,LO3,Tillering,Tourist herbivore,0.039,0.034,0.029,0.004,0.128
2019,Both,LO3,Tillering,Detritivore,0.593,0.278,0.69,0.026,0.911
2019,Both,LO3,Flowering,Rice herbivore,0.93,0.059,0.944,0.773,0.997
2019,Both,LO3,Flowering,Tourist herbivore,0.026,0.03,0.017,0.001,0.111
2019,Both,LO3,Flowering,Detritivore,0.044,0.044,0.033,0,0.16
2019,Both,LO3,Ripening,Rice herbivore,0.976,0.023,0.983,0.915,0.999
2019,Both,LO3,Ripening,Tourist herbivore,0.012,0.015,0.007,0.001,0.05
2019,Both,LO3,Ripening,Detritivore,0.011,0.014,0.007,0,0.05
2019,Both,MC1,Tillering,Rice herbivore,0.554,0.163,0.564,0.207,0.841
2019,Both,MC1,Tillering,Tourist herbivore,0.134,0.109,0.104,0.01,0.408
2019,Both,MC1,Tillering,Detritivore,0.311,0.169,0.283,0.055,0.707
2019,Both,MC1,Flowering,Rice herbivore,0.943,0.048,0.958,0.819,0.993
2019,Both,MC1,Flowering,Tourist herbivore,0.046,0.045,0.031,0.003,0.164
2019,Both,MC1,Flowering,Detritivore,0.011,0.014,0.007,0.001,0.05
2019,Both,MC1,Ripening,Rice herbivore,0.975,0.025,0.983,0.908,0.998
2019,Both,MC1,Ripening,Tourist herbivore,0.021,0.023,0.014,0.001,0.086
2019,Both,MC1,Ripening,Detritivore,0.003,0.005,0.002,0,0.018
2019,Both,MC2,Tillering,Rice herbivore,0.379,0.136,0.366,0.149,0.684
2019,Both,MC2,Tillering,Tourist herbivore,0.084,0.074,0.063,0.007,0.273
2019,Both,MC2,Tillering,Detritivore,0.537,0.156,0.548,0.189,0.805
2019,Both,MC2,Flowering,Rice herbivore,0.938,0.036,0.945,0.852,0.986
2019,Both,MC2,Flowering,Tourist herbivore,0.036,0.03,0.028,0.003,0.115
2019,Both,MC2,Flowering,Detritivore,0.026,0.019,0.021,0.004,0.077
2019,Both,MC3,Tillering,Rice herbivore,0.298,0.115,0.293,0.095,0.538
2019,Both,MC3,Tillering,Tourist herbivore,0.374,0.131,0.38,0.093,0.622
2019,Both,MC3,Tillering,Detritivore,0.328,0.161,0.305,0.077,0.707
2019,Both,MC3,Flowering,Rice herbivore,0.782,0.119,0.803,0.503,0.958
2019,Both,MC3,Flowering,Tourist herbivore,0.2,0.116,0.18,0.029,0.473
2019,Both,MC3,Flowering,Detritivore,0.018,0.02,0.012,0.002,0.077
2019,Both,MC3,Ripening,Rice herbivore,0.893,0.065,0.906,0.735,0.979
2019,Both,MC3,Ripening,Tourist herbivore,0.101,0.064,0.089,0.017,0.256
2019,Both,MC3,Ripening,Detritivore,0.005,0.008,0.003,0,0.026
2019,Both,MO1,Tillering,Rice herbivore,0.2,0.121,0.185,0.027,0.478
2019,Both,MO1,Tillering,Tourist herbivore,0.141,0.115,0.113,0.008,0.42
2019,Both,MO1,Tillering,Detritivore,0.659,0.177,0.674,0.245,0.949
2019,Both,MO1,Flowering,Rice herbivore,0.812,0.117,0.833,0.539,0.968
2019,Both,MO1,Flowering,Tourist herbivore,0.115,0.09,0.092,0.008,0.337
2019,Both,MO1,Flowering,Detritivore,0.072,0.081,0.046,0.006,0.303
2019,Both,MO1,Ripening,Rice herbivore,0.914,0.075,0.936,0.713,0.991
2019,Both,MO1,Ripening,Tourist herbivore,0.059,0.053,0.045,0.004,0.203
2019,Both,MO1,Ripening,Detritivore,0.027,0.049,0.01,0.001,0.175
2019,Both,MO2,Tillering,Rice herbivore,0.066,0.044,0.055,0.013,0.182
2019,Both,MO2,Tillering,Tourist herbivore,0.296,0.378,0.021,0.002,0.931
2019,Both,MO2,Tillering,Detritivore,0.639,0.387,0.901,0.025,0.974
2019,Both,MO2,Flowering,Rice herbivore,0.625,0.242,0.717,0.086,0.904
2019,Both,MO2,Flowering,Tourist herbivore,0.243,0.305,0.06,0.006,0.901
2019,Both,MO2,Flowering,Detritivore,0.132,0.113,0.122,0.002,0.371
2019,Both,MO3,Tillering,Rice herbivore,0.008,0.006,0.006,0.001,0.023
2019,Both,MO3,Tillering,Tourist herbivore,0.534,0.195,0.502,0.227,0.961
2019,Both,MO3,Tillering,Detritivore,0.458,0.195,0.492,0.033,0.766
2019,Both,MO3,Flowering,Rice herbivore,0.072,0.044,0.062,0.015,0.182
2019,Both,MO3,Flowering,Tourist herbivore,0.856,0.067,0.864,0.71,0.962
2019,Both,MO3,Flowering,Detritivore,0.072,0.048,0.063,0.006,0.19
2019,Both,MO3,Ripening,Rice herbivore,0.146,0.063,0.139,0.043,0.285
2019,Both,MO3,Ripening,Tourist herbivore,0.816,0.069,0.82,0.669,0.936
2019,Both,MO3,Ripening,Detritivore,0.038,0.036,0.028,0.002,0.135
2019,Both,SC1,Tillering,Rice herbivore,0.26,0.099,0.258,0.079,0.458
2019,Both,SC1,Tillering,Tourist herbivore,0.113,0.084,0.095,0.008,0.31
2019,Both,SC1,Tillering,Detritivore,0.627,0.124,0.626,0.384,0.865
2019,Both,SC1,Flowering,Rice herbivore,0.883,0.076,0.902,0.676,0.975
2019,Both,SC1,Flowering,Tourist herbivore,0.074,0.065,0.055,0.006,0.256
2019,Both,SC1,Flowering,Detritivore,0.043,0.034,0.032,0.007,0.136
2019,Both,SC1,Ripening,Rice herbivore,0.949,0.047,0.963,0.82,0.994
2019,Both,SC1,Ripening,Tourist herbivore,0.038,0.041,0.025,0.003,0.157
2019,Both,SC1,Ripening,Detritivore,0.013,0.018,0.007,0.001,0.06
2019,Both,SO1,Tillering,Rice herbivore,0.232,0.129,0.211,0.051,0.536
2019,Both,SO1,Tillering,Tourist herbivore,0.1,0.096,0.072,0.006,0.364
2019,Both,SO1,Tillering,Detritivore,0.667,0.165,0.687,0.301,0.921
2019,Both,SO1,Flowering,Rice herbivore,0.869,0.088,0.888,0.654,0.978
2019,Both,SO1,Flowering,Tourist herbivore,0.073,0.067,0.053,0.005,0.252
2019,Both,SO1,Flowering,Detritivore,0.059,0.053,0.043,0.006,0.198
2019,Both,SO1,Ripening,Rice herbivore,0.946,0.047,0.959,0.827,0.994
2019,Both,SO1,Ripening,Tourist herbivore,0.036,0.038,0.025,0.002,0.141
2019,Both,SO1,Ripening,Detritivore,0.018,0.025,0.009,0.001,0.085
2019,Spider,LC1,Tillering,Rice herbivore,0.502,0.084,0.505,0.33,0.655
2019,Spider,LC1,Tillering,Tourist herbivore,0.294,0.073,0.293,0.154,0.44
2019,Spider,LC1,Tillering,Detritivore,0.203,0.1,0.19,0.047,0.448
2019,Spider,LC1,Flowering,Rice herbivore,0.908,0.038,0.915,0.816,0.965
2019,Spider,LC1,Flowering,Tourist herbivore,0.085,0.037,0.079,0.031,0.173
2019,Spider,LC1,Flowering,Detritivore,0.007,0.007,0.005,0.001,0.024
2019,Spider,LC1,Ripening,Rice herbivore,0.945,0.027,0.951,0.878,0.982
2019,Spider,LC1,Ripening,Tourist herbivore,0.051,0.026,0.047,0.016,0.116
2019,Spider,LC1,Ripening,Detritivore,0.003,0.004,0.002,0,0.014
2019,Spider,LC2,Tillering,Rice herbivore,0.457,0.101,0.46,0.251,0.657
2019,Spider,LC2,Tillering,Tourist herbivore,0.127,0.068,0.117,0.024,0.284
2019,Spider,LC2,Tillering,Detritivore,0.416,0.122,0.411,0.191,0.67
2019,Spider,LC2,Flowering,Rice herbivore,0.942,0.032,0.948,0.865,0.985
2019,Spider,LC2,Flowering,Tourist herbivore,0.042,0.027,0.036,0.007,0.111
2019,Spider,LC2,Flowering,Detritivore,0.016,0.015,0.011,0.002,0.054
2019,Spider,LC3,Tillering,Rice herbivore,0.307,0.092,0.311,0.114,0.482
2019,Spider,LC3,Tillering,Tourist herbivore,0.05,0.031,0.044,0.008,0.126
2019,Spider,LC3,Tillering,Detritivore,0.643,0.099,0.638,0.452,0.848
2019,Spider,LC3,Flowering,Rice herbivore,0.939,0.038,0.947,0.838,0.984
2019,Spider,LC3,Flowering,Tourist herbivore,0.025,0.019,0.02,0.004,0.076
2019,Spider,LC3,Flowering,Detritivore,0.036,0.029,0.028,0.006,0.112
2019,Spider,LC3,Ripening,Rice herbivore,0.968,0.025,0.975,0.9,0.995
2019,Spider,LC3,Ripening,Tourist herbivore,0.015,0.013,0.012,0.002,0.048
2019,Spider,LC3,Ripening,Detritivore,0.016,0.019,0.01,0.001,0.072
2019,Spider,LO1,Tillering,Rice herbivore,0.74,0.089,0.744,0.556,0.9
2019,Spider,LO1,Tillering,Tourist herbivore,0.115,0.065,0.105,0.021,0.265
2019,Spider,LO1,Tillering,Detritivore,0.146,0.085,0.132,0.028,0.351
2019,Spider,LO1,Flowering,Rice herbivore,0.973,0.018,0.976,0.928,0.995
2019,Spider,LO1,Flowering,Tourist herbivore,0.024,0.017,0.02,0.003,0.068
2019,Spider,LO1,Flowering,Detritivore,0.003,0.003,0.002,0,0.012
2019,Spider,LO1,Ripening,Rice herbivore,0.984,0.011,0.987,0.955,0.998
2019,Spider,LO1,Ripening,Tourist herbivore,0.014,0.011,0.011,0.002,0.043
2019,Spider,LO1,Ripening,Detritivore,0.002,0.002,0.001,0,0.007
2019,Spider,LO2,Tillering,Rice herbivore,0.311,0.097,0.312,0.118,0.497
2019,Spider,LO2,Tillering,Tourist herbivore,0.066,0.041,0.059,0.011,0.166
2019,Spider,LO2,Tillering,Detritivore,0.623,0.11,0.621,0.413,0.843
2019,Spider,LO2,Flowering,Rice herbivore,0.932,0.04,0.942,0.825,0.982
2019,Spider,LO2,Flowering,Tourist herbivore,0.033,0.024,0.027,0.005,0.092
2019,Spider,LO2,Flowering,Detritivore,0.035,0.03,0.026,0.005,0.118
2019,Spider,LO3,Tillering,Rice herbivore,0.555,0.097,0.556,0.36,0.746
2019,Spider,LO3,Tillering,Tourist herbivore,0.126,0.07,0.117,0.02,0.288
2019,Spider,LO3,Tillering,Detritivore,0.319,0.116,0.316,0.102,0.56
2019,Spider,LO3,Flowering,Rice herbivore,0.956,0.024,0.961,0.896,0.988
2019,Spider,LO3,Flowering,Tourist herbivore,0.034,0.022,0.03,0.005,0.094
2019,Spider,LO3,Flowering,Detritivore,0.009,0.008,0.007,0.001,0.031
2019,Spider,LO3,Ripening,Rice herbivore,0.975,0.016,0.979,0.934,0.995
2019,Spider,LO3,Ripening,Tourist herbivore,0.02,0.015,0.017,0.003,0.058
2019,Spider,LO3,Ripening,Detritivore,0.004,0.005,0.003,0,0.02
2019,Spider,MC1,Tillering,Rice herbivore,0.704,0.109,0.707,0.474,0.899
2019,Spider,MC1,Tillering,Tourist herbivore,0.098,0.066,0.084,0.014,0.26
2019,Spider,MC1,Tillering,Detritivore,0.199,0.11,0.183,0.034,0.454
2019,Spider,MC1,Flowering,Rice herbivore,0.974,0.017,0.978,0.931,0.995
2019,Spider,MC1,Flowering,Tourist herbivore,0.021,0.017,0.017,0.003,0.064
2019,Spider,MC1,Flowering,Detritivore,0.005,0.005,0.003,0,0.018
2019,Spider,MC1,Ripening,Rice herbivore,0.985,0.011,0.988,0.956,0.998
2019,Spider,MC1,Ripening,Tourist herbivore,0.013,0.011,0.01,0.001,0.04
2019,Spider,MC1,Ripening,Detritivore,0.002,0.003,0.001,0,0.011
2019,Spider,MC2,Tillering,Rice herbivore,0.323,0.114,0.315,0.128,0.565
2019,Spider,MC2,Tillering,Tourist herbivore,0.101,0.063,0.089,0.016,0.251
2019,Spider,MC2,Tillering,Detritivore,0.576,0.136,0.58,0.297,0.824
2019,Spider,MC2,Flowering,Rice herbivore,0.924,0.039,0.93,0.832,0.979
2019,Spider,MC2,Flowering,Tourist herbivore,0.047,0.031,0.04,0.007,0.125
2019,Spider,MC2,Flowering,Detritivore,0.03,0.023,0.024,0.004,0.089
2019,Spider,MC3,Tillering,Rice herbivore,0.333,0.095,0.336,0.152,0.516
2019,Spider,MC3,Tillering,Tourist herbivore,0.415,0.088,0.41,0.252,0.609
2019,Spider,MC3,Tillering,Detritivore,0.252,0.117,0.237,0.064,0.518
2019,Spider,MC3,Flowering,Rice herbivore,0.82,0.074,0.832,0.646,0.93
2019,Spider,MC3,Flowering,Tourist herbivore,0.169,0.07,0.157,0.064,0.334
2019,Spider,MC3,Flowering,Detritivore,0.012,0.013,0.008,0.001,0.044
2019,Spider,MC3,Ripening,Rice herbivore,0.888,0.054,0.899,0.758,0.963
2019,Spider,MC3,Ripening,Tourist herbivore,0.106,0.052,0.096,0.034,0.234
2019,Spider,MC3,Ripening,Detritivore,0.006,0.008,0.003,0,0.026
2019,Spider,MO1,Tillering,Rice herbivore,0.217,0.114,0.199,0.055,0.498
2019,Spider,MO1,Tillering,Tourist herbivore,0.123,0.085,0.107,0.014,0.333
2019,Spider,MO1,Tillering,Detritivore,0.66,0.169,0.685,0.236,0.912
2019,Spider,MO1,Flowering,Rice herbivore,0.865,0.066,0.875,0.711,0.964
2019,Spider,MO1,Flowering,Tourist herbivore,0.078,0.046,0.071,0.014,0.189
2019,Spider,MO1,Flowering,Detritivore,0.057,0.052,0.042,0.004,0.192
2019,Spider,MO1,Ripening,Rice herbivore,0.923,0.047,0.935,0.8,0.984
2019,Spider,MO1,Ripening,Tourist herbivore,0.048,0.031,0.042,0.007,0.125
2019,Spider,MO1,Ripening,Detritivore,0.029,0.037,0.014,0.001,0.142
2019,Spider,MO2,Tillering,Rice herbivore,0.139,0.064,0.132,0.04,0.283
2019,Spider,MO2,Tillering,Tourist herbivore,0.053,0.038,0.044,0.006,0.149
2019,Spider,MO2,Tillering,Detritivore,0.808,0.081,0.814,0.629,0.939
2019,Spider,MO2,Flowering,Rice herbivore,0.854,0.072,0.866,0.687,0.959
2019,Spider,MO2,Flowering,Tourist herbivore,0.053,0.037,0.044,0.009,0.15
2019,Spider,MO2,Flowering,Detritivore,0.092,0.062,0.078,0.014,0.246
2019,Spider,MO3,Tillering,Rice herbivore,0.005,0.003,0.004,0.001,0.013
2019,Spider,MO3,Tillering,Tourist herbivore,0.497,0.186,0.464,0.218,0.947
2019,Spider,MO3,Tillering,Detritivore,0.498,0.186,0.531,0.048,0.779
2019,Spider,MO3,Flowering,Rice herbivore,0.054,0.03,0.048,0.014,0.126
2019,Spider,MO3,Flowering,Tourist herbivore,0.857,0.059,0.861,0.729,0.957
2019,Spider,MO3,Flowering,Detritivore,0.089,0.052,0.081,0.009,0.21
2019,Spider,MO3,Ripening,Rice herbivore,0.092,0.044,0.086,0.026,0.193
2019,Spider,MO3,Ripening,Tourist herbivore,0.842,0.068,0.851,0.683,0.951
2019,Spider,MO3,Ripening,Detritivore,0.066,0.058,0.049,0.003,0.214
2019,Spider,SC1,Tillering,Rice herbivore,0.229,0.093,0.229,0.057,0.412
2019,Spider,SC1,Tillering,Tourist herbivore,0.1,0.059,0.092,0.016,0.237
2019,Spider,SC1,Tillering,Detritivore,0.671,0.117,0.667,0.443,0.896
2019,Spider,SC1,Flowering,Rice herbivore,0.882,0.071,0.899,0.703,0.97
2019,Spider,SC1,Flowering,Tourist herbivore,0.066,0.046,0.054,0.011,0.186
2019,Spider,SC1,Flowering,Detritivore,0.052,0.048,0.038,0.007,0.181
2019,Spider,SC1,Ripening,Rice herbivore,0.933,0.051,0.947,0.798,0.989
2019,Spider,SC1,Ripening,Tourist herbivore,0.041,0.032,0.033,0.005,0.126
2019,Spider,SC1,Ripening,Detritivore,0.025,0.034,0.014,0.001,0.121
