No.,ID,Date,Species,Amount_mg,Conc_N_%,d_15N,Conc_C_%,d_13C,Farm_type,Sur_env,Stage,Trophic
250,1Or20170623Pen4,20170623,Pen4,1.076,9.01,8.95,54.47,-29.65,Or,M,Heading,Herbivore
251,1Or20170623Pen4,20170623,Pen4,1.139,9.52,9.58,53.72,-29.52,Or,M,Heading,Herbivore
252,1Or20170623Pen4,20170623,Pen4,1.063,8.97,9.02,53.68,-29.51,Or,M,Heading,Herbivore
253,1Or20170623CicA,20170623,CicA,0.766,10.32,4.69,53.25,-16.43,Or,M,Heading,Herbivore
254,1Or20170623CicA,20170623,CicA,0.644,10.50,6.89,50.50,-24.58,Or,M,Heading,Herbivore
255,1Or20170623Ara5,20170623,Ara5,0.911,12.84,6.04,44.87,-22.55,Or,M,Heading,Predator
256,1Or20170623Ara5,20170623,Ara5,0.776,12.73,7.00,45.81,-23.47,Or,M,Heading,Predator
257,1Or20170623Coc1,20170623,Coc1,1.140,10.57,9.16,51.50,-28.07,Or,M,Heading,Predator
258,1Or20170623Coc1,20170623,Coc1,1.194,9.34,9.25,54.16,-23.92,Or,M,Heading,Predator
259,1Or20170623Chl2,20170623,Chl2,0.868,9.06,8.87,49.00,-29.12,Or,M,Heading,Detritivore
260,1Or20170623Lyg2,20170623,Lyg2,1.062,11.51,9.05,50.32,-25.85,Or,M,Heading,Herbivore
261,1Or20170623Acr3,20170623,Acr3,1.088,10.60,5.36,47.09,-18.86,Or,M,Heading,Herbivore
262,1Or20170623Ara6,20170623,Ara6,0.595,12.99,7.46,49.25,-20.10,Or,M,Heading,Predator
263,1Or20170623Ara4,20170623,Ara4,1.111,13.38,7.57,45.19,-23.61,Or,M,Heading,Predator
264,1Or20170623Pen3,20170623,Pen3,1.067,8.78,7.90,47.48,-29.00,Or,M,Heading,Herbivore
265,1Cv20170623Pen3,20170623,Pen3,1.167,7.45,7.04,46.40,-30.67,Cv,M,Heading,Herbivore
266,1Cv20170623Pen3,20170623,Pen3,1.128,8.31,6.63,51.20,-30.86,Cv,M,Heading,Herbivore
267,1Cv20170623Pen3,20170623,Pen3,1.073,8.82,6.98,49.91,-31.22,Cv,M,Heading,Herbivore
268,1Cv20170623Pen3,20170623,Pen3,1.161,7.24,6.63,49.55,-30.42,Cv,M,Heading,Herbivore
269,1Cv20170623Lyg1,20170623,Lyg1,1.078,11.04,6.90,48.76,-29.31,Cv,M,Heading,Herbivore
270,1Cv20170623Lyg1,20170623,Lyg1,1.038,10.14,4.85,51.78,-23.47,Cv,M,Heading,Herbivore
271,1Cv20170623Lyg1,20170623,Lyg1,1.027,11.23,6.96,49.81,-29.02,Cv,M,Heading,Herbivore
272,1Cv20170623Ara4,20170623,Ara4,1.079,11.91,8.39,49.06,-27.31,Cv,M,Heading,Predator
273,1Cv20170623Ara4,20170623,Ara4,1.055,13.28,8.05,47.58,-26.93,Cv,M,Heading,Predator
274,1Cv20170623DelA,20170623,DelA,1.130,9.19,4.94,54.34,-29.68,Cv,M,Heading,Herbivore
275,1Cv20170623DelA,20170623,DelA,0.709,10.34,5.26,50.37,-29.54,Cv,M,Heading,Herbivore
276,1Cv20170623DelA,20170623,DelA,0.830,7.63,6.33,56.47,-30.68,Cv,M,Heading,Herbivore
277,1Cv20170623Pen2,20170623,Pen2,1.057,10.68,2.67,50.29,-20.65,Cv,M,Heading,Herbivore
278,1Cv20170623Pen2,20170623,Pen2,0.989,10.83,3.88,49.66,-17.07,Cv,M,Heading,Herbivore
279,1Cv20170623Ara3,20170623,Ara3,0.934,13.62,6.93,47.30,-24.29,Cv,M,Heading,Predator
280,1Cv20170623Ara3,20170623,Ara3,1.226,10.75,7.67,47.87,-27.69,Cv,M,Heading,Predator
281,1Cv20170623Tep1,20170623,Tep1,1.140,10.49,5.61,50.28,-24.88,Cv,M,Heading,Herbivore
282,1Cv20170623Nym1,20170623,Nym1,1.124,7.61,6.73,44.56,-29.56,Cv,M,Heading,Herbivore
283,1Cv20170623Nym1,20170623,Nym1,1.063,5.77,7.44,48.87,-30.75,Cv,M,Heading,Herbivore
284,2Or20170623For2,20170623,For2,1.017,10.74,6.25,48.19,-23.88,Or,G,Heading,Omnivore
285,2Or20170623For2,20170623,For2,1.059,10.56,6.21,47.73,-24.38,Or,G,Heading,Omnivore
286,2Or20170623Pen4,20170623,Pen4,1.101,9.55,6.42,53.63,-29.67,Or,G,Heading,Herbivore
287,2Or20170623Ara4,20170623,Ara4,1.202,12.08,6.58,47.90,-25.33,Or,G,Heading,Predator
288,2Or20170623Ara4,20170623,Ara4,1.178,11.92,7.29,50.30,-26.68,Or,G,Heading,Predator
289,2Or20170623Ara2,20170623,Ara2,1.054,11.32,6.56,50.38,-27.75,Or,G,Heading,Predator
290,2Or20170623Ara2,20170623,Ara2,0.521,8.70,5.89,56.00,-28.68,Or,G,Heading,Predator
291,2Or20170623Tet1,20170623,Tet1,1.075,12.83,7.08,45.85,-27.26,Or,G,Heading,Predator
292,2Or20170623CicA,20170623,CicA,1.212,9.18,4.35,53.19,-24.72,Or,G,Heading,Herbivore
293,2Or20170623CicA,20170623,CicA,1.148,9.02,5.41,54.41,-28.89,Or,G,Heading,Herbivore
294,2Or20170623CicA,20170623,CicA,1.078,10.21,5.53,52.39,-28.79,Or,G,Heading,Herbivore
295,2Or20170623Pyr1,20170623,Pyr1,1.207,12.39,4.31,48.26,-29.61,Or,G,Heading,Herbivore
296,2Or20170623DelA,20170623,DelA,1.213,9.59,5.72,53.61,-28.24,Or,G,Heading,Herbivore
297,2Or20170623DelA,20170623,DelA,1.125,10.31,5.60,52.23,-28.06,Or,G,Heading,Herbivore
298,2Or20170623Pen3,20170623,Pen3,1.194,8.67,7.48,48.43,-29.82,Or,G,Heading,Herbivore
299,2Or20170623Acr2,20170623,Acr2,1.079,11.02,1.02,45.84,-22.45,Or,G,Heading,Herbivore
300,2Or20170623Str1,20170623,Str1,0.855,7.70,1.75,45.85,-28.23,Or,G,Heading,Detritivore
301,2Or20170623Ara3,20170623,Ara3,0.832,11.24,6.10,49.41,-26.28,Or,G,Heading,Predator
302,2Or20170623Ich2,20170623,Ich2,0.858,9.51,7.67,48.86,-30.68,Or,G,Heading,Parasite
303,2Or20170623For3,20170623,For3,1.172,11.28,5.06,47.71,-26.15,Or,G,Heading,Omnivore
304,2Or20170623For3,20170623,For3,1.061,10.84,4.42,47.78,-25.78,Or,G,Heading,Omnivore
305,2Or20170623For3,20170623,For3,1.174,10.92,4.41,48.24,-25.73,Or,G,Heading,Omnivore
306,2Or20170623For3,20170623,For3,1.120,11.24,5.39,48.10,-22.32,Or,G,Heading,Omnivore
307,2Cv20170623CicA,20170623,CicA,1.147,9.76,2.12,51.69,-28.84,Cv,G,Heading,Herbivore
308,2Cv20170623CicA,20170623,CicA,1.057,9.73,2.11,51.32,-29.03,Cv,G,Heading,Herbivore
309,2Cv20170623CicA,20170623,CicA,1.191,9.52,1.80,52.33,-28.85,Cv,G,Heading,Herbivore
310,2Cv20170623CicA,20170623,CicA,1.032,5.03,1.64,28.60,-29.00,Cv,G,Heading,Herbivore
311,2Cv20170623Sci2,20170623,Sci2,1.100,7.33,6.78,51.23,-27.58,Cv,G,Heading,Parasite
312,2Cv20170623Sci2,20170623,Sci2,0.968,6.65,6.24,49.25,-28.24,Cv,G,Heading,Parasite
313,2Cv20170623For1,20170623,For1,0.600,10.53,5.76,45.40,-15.59,Cv,G,Heading,Omnivore
314,2Cv20170623Tet1,20170623,Tet1,1.040,12.50,7.56,47.25,-25.97,Cv,G,Heading,Predator
315,2Cv20170623Chi2,20170623,Chi2,0.994,11.03,9.11,48.17,-26.70,Cv,G,Heading,Detritivore
316,2Cv20170623Coc1,20170623,Coc1,1.083,8.99,6.94,52.68,-28.83,Cv,G,Heading,Predator
317,2Cv20170623Eph1,20170623,Eph1,1.062,10.49,16.08,48.43,-26.63,Cv,G,Heading,Detritivore
318,2Cv20170623Pen4,20170623,Pen4,1.164,10.14,6.68,52.07,-29.67,Cv,G,Heading,Herbivore
319,2Cv20170623DelA,20170623,DelA,1.044,8.69,2.71,52.58,-28.98,Cv,G,Heading,Herbivore
320,2Cv20170623DelA,20170623,DelA,1.113,9.37,2.90,52.88,-29.11,Cv,G,Heading,Herbivore
321,2Cv20170623DelA,20170623,DelA,1.028,8.93,3.47,53.90,-29.49,Cv,G,Heading,Herbivore
322,2Cv20170623DelA,20170623,DelA,1.174,8.85,2.81,52.87,-28.75,Cv,G,Heading,Herbivore
323,3Or20170623DelA,20170623,DelA,0.998,9.83,9.79,52.68,-25.13,Or,O,Heading,Herbivore
324,3Or20170623Sar1,20170623,Sar1,1.187,12.61,10.59,48.59,-26.12,Or,O,Heading,Detritivore
325,3Or20170623Tet1,20170623,Tet1,1.106,12.99,8.08,46.34,-24.89,Or,O,Heading,Predator
326,3Or20170623Chl2,20170623,Chl2,0.569,9.39,10.16,49.83,-28.02,Or,O,Heading,Detritivore
327,3Or20170623Dol1,20170623,Dol1,1.102,8.58,9.30,46.17,-26.11,Or,O,Heading,Predator
328,3Or20170623Hes1,20170623,Hes1,1.092,8.20,8.38,42.79,-30.31,Or,O,Heading,Herbivore
329,3Cv20170623DelA,20170623,DelA,1.005,8.49,5.94,53.41,-29.79,Cv,O,Heading,Herbivore
330,3Cv20170623DelA,20170623,DelA,1.064,8.93,5.80,54.17,-29.92,Cv,O,Heading,Herbivore
331,3Cv20170623DelA,20170623,DelA,1.094,8.74,5.62,52.65,-29.81,Cv,O,Heading,Herbivore
332,3Cv20170623DelA,20170623,DelA,1.094,9.03,6.22,52.44,-29.55,Cv,O,Heading,Herbivore
333,3Cv20170623Coc1,20170623,Coc1,1.121,8.55,6.95,51.77,-29.08,Cv,O,Heading,Predator
334,3Cv20170623Coc1,20170623,Coc1,1.004,9.52,8.62,53.88,-23.95,Cv,O,Heading,Predator
335,3Cv20170623Pyl1,20170623,Pyl1,1.191,11.23,7.78,47.80,-30.15,Cv,O,Heading,Herbivore
336,3Cv20170623Pyl1,20170623,Pyl1,1.116,10.34,5.54,51.16,-29.63,Cv,O,Heading,Herbivore
337,3Cv20170623Ara1,20170623,Ara1,0.478,10.67,8.24,48.72,-28.34,Cv,O,Heading,Predator
338,3Cv20170623Cul1,20170623,Cul1,0.743,10.59,6.44,46.24,-27.02,Cv,O,Heading,Omnivore
339,3Cv20170623Tet1,20170623,Tet1,0.693,11.59,8.21,48.02,-26.08,Cv,O,Heading,Predator
340,1Or20170712Ara2,20170712,Ara2,1.198,9.00,7.58,43.31,-22.42,Or,M,Ripening,Predator
341,1Or20170712Ara2,20170712,Ara2,1.222,11.11,6.78,48.91,-23.87,Or,M,Ripening,Predator
342,1Or20170712Ara2,20170712,Ara2,1.120,10.15,7.78,50.19,-25.88,Or,M,Ripening,Predator
343,1Or20170712Nym1,20170712,Nym1,1.188,8.71,8.66,48.98,-30.06,Or,M,Ripening,Herbivore
344,1Or20170712Pip1,20170712,Pip1,0.424,7.10,6.32,44.93,-28.73,Or,M,Ripening,Parasite
345,1Or20170712DelA,20170712,DelA,1.085,9.23,3.33,51.88,-29.36,Or,M,Ripening,Herbivore
346,1Or20170712Coc1,20170712,Coc1,1.266,7.49,7.14,51.58,-29.23,Or,M,Ripening,Predator
347,1Or20170712Coc1,20170712,Coc1,1.242,8.86,8.91,45.80,-28.38,Or,M,Ripening,Predator
348,1Or20170712Coc1,20170712,Coc1,1.030,9.43,9.01,49.31,-27.68,Or,M,Ripening,Predator
349,1Or20170712Car1,20170712,Car1,1.220,9.62,9.56,51.90,-28.59,Or,M,Ripening,Predator
350,1Or20170712Lyg1,20170712,Lyg1,1.178,11.06,0.75,50.95,-13.45,Or,M,Ripening,Herbivore
351,1Or20170712Lyg1,20170712,Lyg1,1.420,8.61,9.38,56.26,-26.70,Or,M,Ripening,Herbivore
352,1Or20170712Pen7,20170712,Pen7,1.479,8.17,4.40,55.50,-30.52,Or,M,Ripening,Herbivore
353,1Or20170712Pen7,20170712,Pen7,1.478,9.83,8.87,53.18,-28.79,Or,M,Ripening,Herbivore
354,1Or20170712Pen3,20170712,Pen3,1.038,9.35,7.82,51.22,-29.99,Or,M,Ripening,Herbivore
355,1Or20170712Pen3,20170712,Pen3,1.297,9.00,7.74,51.98,-30.36,Or,M,Ripening,Herbivore
356,1Or20170712Pen3,20170712,Pen3,0.988,8.92,7.16,50.98,-30.10,Or,M,Ripening,Herbivore
357,1Or20170712Pen3,20170712,Pen3,1.031,9.15,6.89,51.03,-29.62,Or,M,Ripening,Herbivore
358,1Cv20170712Ara1,20170712,Ara1,1.070,10.62,7.20,53.77,-27.98,Cv,M,Ripening,Predator
359,1Cv20170712Ara3,20170712,Ara3,1.140,10.65,8.77,51.21,-21.65,Cv,M,Ripening,Predator
360,1Cv20170712Ara4,20170712,Ara4,0.611,12.27,8.49,47.75,-25.06,Cv,M,Ripening,Predator
361,1Cv20170712Pen1,20170712,Pen1,1.292,7.85,5.33,49.37,-28.46,Cv,M,Ripening,Herbivore
362,1Cv20170712Pen1,20170712,Pen1,1.213,7.90,5.47,51.62,-29.81,Cv,M,Ripening,Herbivore
363,1Cv20170712Pen1,20170712,Pen1,1.237,8.16,5.46,46.75,-27.39,Cv,M,Ripening,Herbivore
364,1Cv20170712Chl2,20170712,Chl2,0.626,9.72,7.99,48.32,-26.88,Cv,M,Ripening,Detritivore
365,1Cv20170712Pen3,20170712,Pen3,1.296,7.94,6.26,53.90,-31.11,Cv,M,Ripening,Herbivore
366,1Cv20170712Pen3,20170712,Pen3,1.168,8.49,6.10,53.27,-29.95,Cv,M,Ripening,Herbivore
367,1Cv20170712Pen3,20170712,Pen3,1.185,8.08,6.49,52.69,-31.23,Cv,M,Ripening,Herbivore
368,1Cv20170712Pen3,20170712,Pen3,1.473,8.15,6.48,54.22,-31.23,Cv,M,Ripening,Herbivore
369,1Cv20170712Lyg1,20170712,Lyg1,1.123,7.74,4.85,59.36,-29.68,Cv,M,Ripening,Herbivore
370,1Cv20170712Lyg1,20170712,Lyg1,1.260,7.67,6.65,59.69,-30.55,Cv,M,Ripening,Herbivore
371,1Cv20170712Lyg1,20170712,Lyg1,1.336,7.94,7.10,58.82,-30.82,Cv,M,Ripening,Herbivore
372,1Cv20170712CicA,20170712,CicA,0.756,8.95,4.37,56.05,-28.52,Cv,M,Ripening,Herbivore
373,1Cv20170712CicA,20170712,CicA,1.312,8.33,4.25,54.60,-28.66,Cv,M,Ripening,Herbivore
374,1Cv20170712Ara4,20170712,Ara4,0.769,12.72,9.40,47.84,-25.52,Cv,M,Ripening,Predator
375,1Cv20170712Ara4,20170712,Ara4,1.177,12.48,6.66,47.12,-26.79,Cv,M,Ripening,Predator
376,1Cv20170712Pen2,20170712,Pen2,1.132,10.98,5.51,48.69,-27.74,Cv,M,Ripening,Herbivore
377,1Cv20170712Pen2,20170712,Pen2,1.191,10.76,6.56,51.32,-26.91,Cv,M,Ripening,Herbivore
378,1Cv20170712Pen2,20170712,Pen2,1.084,8.80,2.80,55.43,-21.14,Cv,M,Ripening,Herbivore
379,1Cv20170712Pen2,20170712,Pen2,1.390,8.25,6.21,54.47,-31.05,Cv,M,Ripening,Herbivore
380,1Cv20170712Tet1,20170712,Tet1,1.133,11.91,8.63,49.81,-27.78,Cv,M,Ripening,Predator
381,1Cv20170712Tet1,20170712,Tet1,1.199,10.93,9.18,51.84,-26.38,Cv,M,Ripening,Predator
382,1Cv20170712Tet1,20170712,Tet1,1.066,13.28,7.40,46.39,-26.46,Cv,M,Ripening,Predator
383,1Cv20170712Ara2,20170712,Ara2,1.022,11.19,8.99,49.47,-25.94,Cv,M,Ripening,Predator
384,1Cv20170712Ara2,20170712,Ara2,1.134,11.51,7.95,47.69,-25.42,Cv,M,Ripening,Predator
385,1Cv20170712Ara2,20170712,Ara2,1.062,16.12,7.24,54.54,-21.63,Cv,M,Ripening,Predator
386,1Cv20170712Acr1,20170712,Acr1,1.121,11.15,7.08,48.03,-29.44,Cv,M,Ripening,Herbivore
387,1Cv20170712DelA,20170712,DelA,1.121,9.50,5.12,52.65,-28.60,Cv,M,Ripening,Herbivore
388,1Cv20170712Pip1,20170712,Pip1,1.033,6.87,6.39,45.61,-28.15,Cv,M,Ripening,Parasite
389,1Cv20170712Sce1,20170712,Sce1,0.672,10.34,7.33,52.11,-27.65,Cv,M,Ripening,Parasite
390,1Cv20170712Ich1,20170712,Ich1,1.120,10.00,6.99,53.84,-28.88,Cv,M,Ripening,Parasite
391,2Or20170712CicA,20170712,CicA,1.199,8.68,3.70,54.59,-28.59,Or,G,Ripening,Herbivore
392,2Or20170712CicA,20170712,CicA,1.220,10.35,4.12,51.26,-27.88,Or,G,Ripening,Herbivore
393,2Or20170712CicA,20170712,CicA,1.130,9.10,4.48,54.12,-28.23,Or,G,Ripening,Herbivore
394,2Or20170712CicA,20170712,CicA,1.068,9.11,4.53,54.90,-28.33,Or,G,Ripening,Herbivore
395,2Or20170712Coc1,20170712,Coc1,1.409,6.33,8.01,59.46,-29.74,Or,G,Ripening,Predator
396,2Or20170712Coc1,20170712,Coc1,1.272,6.42,8.36,57.91,-30.07,Or,G,Ripening,Predator
397,2Or20170712Coc1,20170712,Coc1,1.193,6.72,7.00,57.62,-29.88,Or,G,Ripening,Predator
398,2Or20170712For3,20170712,For3,1.226,10.25,5.37,47.00,-24.69,Or,G,Ripening,Omnivore
399,2Or20170712Pen3,20170712,Pen3,1.105,8.35,6.48,53.27,-30.87,Or,G,Ripening,Herbivore
400,2Or20170712Pen3,20170712,Pen3,1.046,8.35,6.27,51.52,-30.81,Or,G,Ripening,Herbivore
401,2Or20170712Chl4,20170712,Chl4,0.851,9.62,6.50,48.29,-26.49,Or,G,Ripening,Detritivore
402,2Or20170712DelA,20170712,DelA,1.002,9.48,5.28,53.51,-28.32,Or,G,Ripening,Herbivore
403,2Or20170712DelA,20170712,DelA,1.102,9.41,5.27,52.18,-29.30,Or,G,Ripening,Herbivore
404,2Or20170712DelA,20170712,DelA,1.007,9.23,3.93,53.94,-28.28,Or,G,Ripening,Herbivore
405,2Or20170712Ara2,20170712,Ara2,1.025,10.87,6.30,47.33,-25.51,Or,G,Ripening,Predator
406,2Or20170712Ara2,20170712,Ara2,0.988,11.63,5.93,56.17,-26.18,Or,G,Ripening,Predator
407,2Cv20170712Coc1,20170712,Coc1,1.372,7.12,10.46,58.51,-29.32,Cv,G,Ripening,Predator
408,2Cv20170712Coc1,20170712,Coc1,1.009,7.58,9.62,58.46,-28.42,Cv,G,Ripening,Predator
409,2Cv20170712Cha2,20170712,Cha2,1.213,10.32,10.36,47.20,-29.37,Cv,G,Ripening,Parasite
410,2Cv20170712CicA,20170712,CicA,1.165,9.37,3.59,53.50,-29.16,Cv,G,Ripening,Herbivore
411,2Cv20170712CicA,20170712,CicA,1.206,9.26,3.84,53.56,-28.97,Cv,G,Ripening,Herbivore
412,2Cv20170712CicA,20170712,CicA,1.129,9.33,4.67,53.36,-28.93,Cv,G,Ripening,Herbivore
413,2Cv20170712Acr2,20170712,Acr2,1.075,11.14,4.90,46.98,-18.10,Cv,G,Ripening,Herbivore
414,2Cv20170712Ara2,20170712,Ara2,0.629,11.64,7.41,46.10,-26.45,Cv,G,Ripening,Predator
415,2Cv20170712Ara2,20170712,Ara2,0.978,12.39,6.34,47.12,-26.20,Cv,G,Ripening,Predator
416,2Cv20170712Pip1,20170712,Pip1,1.016,6.76,5.49,46.45,-26.06,Cv,G,Ripening,Parasite
417,2Cv20170712DelA,20170712,DelA,0.772,9.28,4.04,52.70,-29.66,Cv,G,Ripening,Herbivore
418,2Cv20170712DelA,20170712,DelA,0.662,7.47,6.62,56.22,-30.01,Cv,G,Ripening,Herbivore
419,2Cv20170712DelA,20170712,DelA,1.019,9.47,5.69,50.57,-28.12,Cv,G,Ripening,Herbivore
420,2Cv20170712For1,20170712,For1,0.698,8.98,6.79,48.63,-24.05,Cv,G,Ripening,Omnivore
421,3Or20170712Tab1,20170712,Tab1,0.879,6.89,7.45,39.21,-28.49,Or,O,Ripening,Omnivore
422,3Or20170712CicA,20170712,CicA,0.755,11.08,3.40,50.57,-27.92,Or,O,Ripening,Herbivore
423,3Or20170712CicA,20170712,CicA,0.431,10.98,5.05,49.95,-29.17,Or,O,Ripening,Herbivore
424,3Or20170712Ara4,20170712,Ara4,0.745,11.82,8.11,48.34,-27.13,Or,O,Ripening,Predator
425,3Or20170712Ara4,20170712,Ara4,0.439,11.59,8.51,48.31,-26.50,Or,O,Ripening,Predator
426,3Or20170712Coc1,20170712,Coc1,1.079,9.31,8.87,51.44,-28.25,Or,O,Ripening,Predator
427,3Or20170712Coc1,20170712,Coc1,1.142,7.25,7.25,59.38,-30.29,Or,O,Ripening,Predator
428,3Or20170712Coc1,20170712,Coc1,1.483,7.37,10.22,57.92,-27.37,Or,O,Ripening,Predator
429,3Or20170712Pen2,20170712,Pen2,1.026,10.16,5.42,46.09,-29.35,Or,O,Ripening,Herbivore
430,3Or20170712Pen1,20170712,Pen1,1.290,10.34,7.55,51.51,-20.12,Or,O,Ripening,Herbivore
431,3Or20170712Sta1,20170712,Sta1,1.116,8.28,6.92,56.42,-28.12,Or,O,Ripening,Predator
432,3Or20170712DelA,20170712,DelA,1.125,8.44,5.09,53.99,-28.99,Or,O,Ripening,Herbivore
433,3Or20170712DelA,20170712,DelA,0.694,9.56,5.42,52.09,-28.37,Or,O,Ripening,Herbivore
434,3Or20170712Chl2,20170712,Chl2,0.605,7.96,10.41,48.97,-28.02,Or,O,Ripening,Detritivore
435,3Or20170712Sci3,20170712,Sci3,1.099,6.68,5.59,47.18,-27.57,Or,O,Ripening,Parasite
436,3Or20170712Sci3,20170712,Sci3,1.038,9.59,10.09,48.54,-26.22,Or,O,Ripening,Parasite
437,3Or20170712Sci3,20170712,Sci3,1.170,7.28,7.79,53.43,-29.06,Or,O,Ripening,Parasite
438,3Cv20170712Pyl2,20170712,Pyl2,1.060,11.71,8.30,47.13,-30.17,Cv,O,Ripening,Herbivore
439,3Cv20170712CicA,20170712,CicA,1.035,10.32,8.08,53.08,-28.69,Cv,O,Ripening,Herbivore
440,3Cv20170712CicA,20170712,CicA,1.019,10.47,6.48,52.52,-27.85,Cv,O,Ripening,Herbivore
441,3Cv20170712CicA,20170712,CicA,0.965,10.78,5.50,50.85,-28.47,Cv,O,Ripening,Herbivore
442,3Cv20170712Coc1,20170712,Coc1,1.045,7.65,8.33,60.56,-29.10,Cv,O,Ripening,Predator
443,3Cv20170712Coc1,20170712,Coc1,1.339,7.58,8.22,57.49,-29.26,Cv,O,Ripening,Predator
444,3Cv20170712Coc1,20170712,Coc1,1.185,8.07,10.55,57.08,-26.80,Cv,O,Ripening,Predator
445,3Cv20170712Ara2,20170712,Ara2,1.037,12.11,8.60,49.65,-25.02,Cv,O,Ripening,Predator
446,3Cv20170712Ara2,20170712,Ara2,0.894,12.33,8.98,47.15,-25.02,Cv,O,Ripening,Predator
447,3Cv20170712Sce1,20170712,Sce1,0.944,10.74,8.33,48.99,-27.19,Cv,O,Ripening,Parasite
448,3Cv20170712DelA,20170712,DelA,0.773,9.06,6.16,53.54,-28.76,Cv,O,Ripening,Herbivore
449,3Cv20170712DelA,20170712,DelA,1.124,9.30,6.19,51.08,-27.98,Cv,O,Ripening,Herbivore
450,3Cv20170712DelA,20170712,DelA,1.197,9.44,6.95,51.66,-28.34,Cv,O,Ripening,Herbivore
451,3Cv20170712Chl2,20170712,Chl2,1.084,8.16,9.44,47.65,-28.13,Cv,O,Ripening,Detritivore
452,3Cv20170712Chl2,20170712,Chl2,1.103,7.93,10.02,46.82,-27.26,Cv,O,Ripening,Detritivore
453,3Cv20170712Chl2,20170712,Chl2,0.786,7.17,11.07,47.48,-26.49,Cv,O,Ripening,Detritivore
